day,open,high,low,close,volume,T_close,T_low,T_high,BorS
20150924,1.11843,1.12956,1.11641,1.12321,159672,1.11994,1.11159,1.1228,0
20150925,1.1228,1.1228,1.11159,1.11994,156112,1.12436,1.11463,1.12474,1
20150928,1.1191,1.12474,1.11463,1.12436,145107,1.12478,1.11935,1.1281,1
20150929,1.12441,1.1281,1.11935,1.12478,156248,1.11763,1.11569,1.1261,0
20150930,1.12469,1.1261,1.11569,1.11763,144384,1.11939,1.11347,1.1209,1
20151001,1.11748,1.1209,1.11347,1.11939,136251,1.12095,1.11501,1.13181,1
20151002,1.11931,1.13181,1.11501,1.12095,152499,1.11871,1.11731,1.1289,0
20151005,1.12202,1.1289,1.11731,1.11871,155624,1.12704,1.11717,1.12792,1
20151006,1.11854,1.12792,1.11717,1.12704,136900,1.12368,1.12112,1.1284,0
20151007,1.12706,1.1284,1.12112,1.12368,145619,1.12756,1.12341,1.13265,1
20151008,1.12353,1.13265,1.12341,1.12756,139179,1.13569,1.12667,1.13869,1
20151009,1.12748,1.13869,1.12667,1.13569,145468,1.13578,1.13547,1.13966,0
20151012,1.13588,1.13966,1.13547,1.13578,93447,1.13782,1.13438,1.14108,1
20151013,1.13571,1.14108,1.13438,1.13782,124772,1.1473,1.13768,1.14889,1
20151014,1.13773,1.14889,1.13768,1.1473,138456,1.13803,1.13629,1.14949,0
20151015,1.14723,1.14949,1.13629,1.13803,144205,1.13474,1.13339,1.13945,0
20151016,1.13819,1.13945,1.13339,1.13474,122221,1.13269,1.13054,1.13788,0
20151019,1.13546,1.13788,1.13054,1.13269,124698,1.13453,1.13237,1.13868,1
20151020,1.13268,1.13868,1.13237,1.13453,110236,1.13382,1.13342,1.13772,0
20151021,1.1343,1.13772,1.13342,1.13382,111159,1.11087,1.10998,1.13507,0
20151022,1.13372,1.13507,1.10998,1.11087,149930,1.10169,1.09963,1.11394,0
20151023,1.11055,1.11394,1.09963,1.10169,153693,1.10529,1.10035,1.10682,1
20151026,1.10071,1.10682,1.10035,1.10529,114026,1.10462,1.103,1.1078,0
20151027,1.10524,1.1078,1.103,1.10462,115196,1.09267,1.08966,1.10955,0
20151028,1.10454,1.10955,1.08966,1.09267,128492,1.09858,1.09026,1.09862,1
20151029,1.09268,1.09862,1.09026,1.09858,125151,1.1005,1.09653,1.10723,1
20151030,1.09858,1.10723,1.09653,1.1005,137694,1.1015,1.09998,1.10527,0
20151102,1.10266,1.10527,1.09998,1.1015,109060,1.09627,1.09357,1.10298,0
20151103,1.10139,1.10298,1.09357,1.09627,119569,1.08653,1.08439,1.09675,0
20151104,1.09626,1.09675,1.08439,1.08653,136450,1.08828,1.08333,1.08972,1
20151105,1.08628,1.08972,1.08333,1.08828,133836,1.0739,1.0707,1.08935,0
20151106,1.08825,1.08935,1.0707,1.0739,132563,1.07499,1.07191,1.07896,1
20151109,1.07283,1.07896,1.07191,1.07499,146646,1.07227,1.0674,1.07637,0
20151110,1.075,1.07637,1.0674,1.07227,141804,1.07417,1.07054,1.07733,1
20151111,1.07214,1.07733,1.07054,1.07417,131070,1.0812,1.06906,1.08301,1
20151112,1.07432,1.08301,1.06906,1.0812,175859,1.07668,1.07137,1.08167,0
20151113,1.08103,1.08167,1.07137,1.07668,158723,1.06847,1.06744,1.07578,0
20151116,1.07366,1.07578,1.06744,1.06847,148791,1.0643,1.06305,1.06904,0
20151117,1.0677,1.06904,1.06305,1.0643,145757,1.06583,1.06166,1.06922,1
20151118,1.06413,1.06922,1.06166,1.06583,135868,1.07338,1.06549,1.07628,1
20151119,1.06574,1.07628,1.06549,1.07338,156652,1.06451,1.06397,1.07382,0
20151120,1.07322,1.07382,1.06397,1.06451,141509,1.06354,1.05922,1.06565,0
20151123,1.06372,1.06565,1.05922,1.06354,150485,1.06426,1.06193,1.06733,1
20151124,1.06355,1.06733,1.06193,1.06426,154752,1.06238,1.05657,1.0689,0
20151125,1.06428,1.0689,1.05657,1.06238,163803,1.06102,1.05996,1.0627,0
20151126,1.06228,1.0627,1.05996,1.06102,100221,1.05938,1.05682,1.06376,0
20151127,1.06101,1.06376,1.05682,1.05938,122193,1.05643,1.05576,1.05947,0
20151130,1.05887,1.05947,1.05576,1.05643,125637,1.06324,1.05629,1.06369,1
20151201,1.05639,1.06369,1.05629,1.06324,142770,1.06135,1.05505,1.06355,0
20151202,1.0634,1.06355,1.05505,1.06135,148607,1.09385,1.05222,1.09807,1
20151203,1.06121,1.09807,1.05222,1.09385,193868,1.08779,1.08357,1.09559,0
20151204,1.09408,1.09559,1.08357,1.08779,197803,1.08366,1.07958,1.08872,0
20151207,1.08681,1.08872,1.07958,1.08366,136966,1.0892,1.08299,1.09021,1
20151208,1.08348,1.09021,1.08299,1.0892,147748,1.10244,1.08789,1.10427,1
20151209,1.08895,1.10427,1.08789,1.10244,173903,1.09401,1.09247,1.10242,0
20151210,1.10214,1.10242,1.09247,1.09401,152426,1.09894,1.09263,1.10305,1
20151211,1.09395,1.10305,1.09263,1.09894,163661,1.09922,1.09452,1.10483,1
20151214,1.09801,1.10483,1.09452,1.09922,173928,1.09285,1.09044,1.10593,0
20151215,1.09905,1.10593,1.09044,1.09285,159300,1.09104,1.08878,1.10116,0
20151216,1.09289,1.10116,1.08878,1.09104,172745,1.08245,1.08023,1.09138,0
20151217,1.09097,1.09138,1.08023,1.08245,150494,1.08613,1.08047,1.08742,1
20151218,1.08242,1.08742,1.08047,1.08613,156514,1.09139,1.08457,1.09387,1
20151221,1.08511,1.09387,1.08457,1.09139,127800,1.09568,1.09021,1.09839,1
20151222,1.09133,1.09839,1.09021,1.09568,120239,1.09099,1.08696,1.09568,0
