open,close
1.3289,1.3559
1.3562,1.3043
1.3043,1.3215
1.3216,1.2963
1.2961,1.2872
1.286,1.2308
1.2309,1.2088
1.2087,1.2123
1.2122,1.2337
1.2341,1.2025
1.2018,1.1979
1.198,1.1789
1.1788,1.1846
1.184,1.2146
1.2143,1.1927
1.1926,1.2118
1.2116,1.2634
1.2626,1.2816
1.2817,1.279
1.2786,1.2767
1.2768,1.2804
1.2805,1.2673
1.2682,1.2764
1.2762,1.3238
1.3239,1.3196
1.3231,1.3022
1.3023,1.3224
1.3225,1.3354
1.3374,1.3642
1.3641,1.3452
1.3453,1.3541
1.3543,1.3677
1.3678,1.3628
1.3629,1.4266
1.4278,1.4471
1.4472,1.4633
1.465,1.4578
1.4663,1.4848
1.4849,1.5178
1.5207,1.5761
1.5762,1.5618
1.562,1.5554
1.556,1.5754
1.5753,1.5597
1.5598,1.4673
1.4702,1.4114
1.4113,1.2722
1.2766,1.2691
1.2695,1.3946
1.3841,1.28117
1.2751,1.2667
1.26169,1.32428
1.32422,1.32239
1.32229,1.4156
1.41306,1.40352
1.40357,1.42558
1.42723,1.43309
1.43303,1.46365
1.46367,1.47179
1.47325,1.50066
1.50075,1.43301
1.43261,1.38642
1.38629,1.36198
1.36219,1.35082
1.35089,1.32926
1.33583,1.22866
1.22856,1.22293
1.22296,1.30495
1.30648,1.26856
1.26849,1.36204
1.36205,1.3971
1.39705,1.29955
1.29954,1.33689
1.43544,1.37134
1.3713,1.38208
1.38208,1.41558
1.41562,1.48063
1.48232,1.44238
1.44241,1.44741
1.44742,1.43524
1.43527,1.43626
1.43629,1.33671
1.33454,1.38588
1.38586,1.34421
1.3442,1.29477
1.29351,1.30756
1.30756,1.33239
1.33238,1.33395
1.33604,1.32387
1.32386,1.23621
1.23621,1.26649
1.26742,1.2292
1.22922,1.25749
1.25697,1.28069
1.28083,1.29639
1.29641,1.29848
1.2977,1.31797
1.32019,1.36116
1.36115,1.30603
1.30603,1.28052
1.28051,1.31673
1.31672,1.29952
1.29925,1.30077
1.30077,1.33002
1.33003,1.32204
1.32093,1.35232
1.35233,1.35786
1.35787,1.35902
1.35805,1.37479
1.36866,1.34847
1.34816,1.3801
1.37596,1.37737
1.37734,1.38678
1.38678,1.36332
1.36363,1.3691
1.36908,1.33885
1.33885,1.31312
1.31267,1.26277
1.26278,1.25233
1.25016,1.2451
1.24348,1.20969
1.21037,1.12819
1.13068,1.1197
1.11609,1.07397
1.07396,1.12114
1.12117,1.09831
1.09573,1.11319
1.11314,1.09831
1.09706,1.1224
1.1224,1.11704
1.11703,1.10047
1.10354,1.05696
1.05694,1.08533
1.087,1.08253
1.08255,1.08855
1.08855,1.13785
1.13786,1.14444
1.1459,1.11338
1.11337,1.11025
1.11025,1.1167
1.1167,1.11558
1.1156,1.12238
1.12265,1.09705
1.09707,1.059
1.05901,1.05129
1.05187,1.0801
1.0801,1.0569
1.05689,1.06504
1.06599,1.0893
1.091,1.12421
1.12425,1.14209
1.14168,1.18408
1.18408,1.19087
1.19084,1.18194
1.17893,1.16448
1.16448,1.19016
1.19027,1.19967
1.20026,1.24119
1.24114,1.21911
1.21915,1.23169
1.23183,1.20798
1.20758,1.16958
1.169,1.16771
1.16778,1.16967
1.16916,1.16068
1.15938,1.16018
1.16161,1.13133
1.13134,1.13066
1.1342,1.14531
1.14517,1.14363
1.14406,1.13611
1.1361,1.1208
1.12195,1.12163
1.12163,1.11582
1.11544,1.13636
1.1352,1.10658
1.10658,1.09799
1.09794,1.08889
